Timestamp local time,Store ID,Store name,DoorDash transaction ID,DoorDash order ID,POS order ID,Transaction type,Channel,Description,Subtotal,Tax (subtotal),Customer fees,Tax (customer fees),Total tips,Commission,Tax (commission),Merchant fees | (for historical reference only),Tax (merchant fees) | (for historical reference only),Error charges,Adjustments | (for historical reference only),Net total,Payout date,Payout ID,Merchant fees,Tax (merchant fees),Marketing fees & discounts | (including any applicable taxes),DoorDash marketing credit,Third-party contribution,Adjustments
2024-12-05 15:19:45.031571000,787703,Pizza Palace (Reisterstown),11878684504,0A6BB68A,NULL,Fee,Self-delivery,Ad fee for order_id: 0A6BB68A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.52,0.00,0.00,0.00,-6.52,2024-12-09,445671781,0.00,0.00,-6.52,0.00,0.00,0.00
2024-12-05 15:35:55.515222000,787703,Pizza Palace (Reisterstown),11878822691,CBFF8110,NULL,Fee,Self-delivery,Ad fee for order_id: CBFF8110,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.33,0.00,0.00,0.00,-7.33,2024-12-09,445671781,0.00,0.00,-7.33,0.00,0.00,0.00
2024-12-05 15:41:33.780618000,787703,Pizza Palace (Reisterstown),11878870012,0A6BB68A,NULL,Order,Self-delivery,NULL,19.44,1.00,0.00,0.00,3.00,-1.98,0.00,-3.90,0.00,0.00,0.00,17.56,2024-12-09,445671781,0.00,0.00,-3.90,0.00,0.00,0.00
2024-12-05 15:50:48.144348000,787703,Pizza Palace (Reisterstown),11878945797,CBFF8110,NULL,Order,Self-delivery,NULL,19.74,1.01,0.00,0.00,3.50,-2.01,0.00,-3.95,0.00,0.00,0.00,18.29,2024-12-09,445671781,0.00,0.00,-3.95,0.00,0.00,0.00
2024-12-05 19:42:54.684319000,787703,Pizza Palace (Reisterstown),11881580581,51D8E22B,NULL,Fee,Self-delivery,Ad fee for order_id: 51D8E22B,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-8.56,0.00,0.00,0.00,-8.56,2024-12-09,445671781,0.00,0.00,-8.56,0.00,0.00,0.00
2024-12-05 20:56:12.848428000,787703,Pizza Palace (Reisterstown),11882551267,51D8E22B,NULL,Order,Self-delivery,NULL,50.96,2.70,0.00,0.00,5.50,-5.40,0.00,-6.99,0.00,0.00,0.00,46.77,2024-12-09,445671781,0.00,0.00,-6.99,0.00,0.00,0.00
2024-12-05 21:38:31.979647000,787703,Pizza Palace (Reisterstown),11883052881,A5CC0BFF,NULL,Order,Self-delivery,NULL,31.48,1.61,2.99,0.00,2.00,-4.01,0.00,-5.71,0.00,0.00,0.00,28.36,2024-12-09,445671781,0.00,0.00,-5.71,0.00,0.00,0.00
2024-12-05 21:47:35.324506000,787703,Pizza Palace (Reisterstown),11883147223,76CA5F6C,NULL,Fee,Self-delivery,Ad fee for order_id: 76CA5F6C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.79,0.00,0.00,0.00,-4.79,2024-12-09,445671781,0.00,0.00,-4.79,0.00,0.00,0.00
2024-12-05 22:06:47.618899000,787703,Pizza Palace (Reisterstown),11883341543,81A5AF45,NULL,Order,Self-delivery,NULL,30.97,1.86,0.00,0.00,0.00,0.00,0.00,-1.25,0.00,0.00,0.00,31.58,2024-12-09,445671781,-1.25,0.00,0.00,0.00,0.00,0.00
2024-12-05 22:24:53.184270000,787703,Pizza Palace (Reisterstown),11883503352,76CA5F6C,NULL,Order,Self-delivery,NULL,30.22,1.55,0.00,0.00,0.00,-1.54,0.00,-5.52,0.00,0.00,0.00,24.71,2024-12-09,445671781,0.00,0.00,-5.52,0.00,0.00,0.00
